csv_row,isbn13,label,source,status,fields_found,fields_total,missing_fields,covers_written,reviews_written,genres_written,blurb_chars,warnings,book_url,error,out_dir
98,9780590098908,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
99,9780590863704,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
100,9780553285604,,audible,partial,6,7,origin,1,1,8,900,7,https://www.audible.com/pd/Scalpdancers-Audiobook/B00KPXE0YO,,data
101,9780425145326,,audible,partial,6,7,origin,1,10,5,664,8,https://www.audible.com/pd/Calling-Crow-Book-One-of-the-Southeast-Series-Audiobook/B014GBYQM6,,data
102,9780553285079,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
103,9780440171676,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
104,9780515076387,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
105,9780380713189,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
106,9780812517828,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
107,9780061043949,,audible,partial,6,7,origin,2,1,8,631,7,https://www.audible.com/pd/Crack-Down-Audiobook/1501989758,,data
108,9780821743164,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
109,9780944276761,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
110,9780446352314,,audible,partial,6,7,origin,1,2,7,1255,7,https://www.audible.com/pd/Under-Cover-of-Daylight-Audiobook/B0DW5QX564,,data
111,9780505522351,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
112,9780590453455,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
113,9780553578034,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
114,9780671669409,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
115,9781558176133,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
116,9780932294098,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
117,9780802730824,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
118,9781878624444,,audible,partial,6,7,origin,1,0,7,379,8,https://www.audible.com/pd/The-Littlest-Christmas-Tree-Audiobook/B0BFZWKLGS,,data
119,9780394836645,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
120,9780307681034,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
121,9780445405257,,audible,partial,6,7,origin,2,25,8,738,7,https://www.audible.com/pd/The-Black-Dahlia-Audiobook/B002V8H8UE,,data
122,9780523413198,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
123,9780373074419,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
124,9780395409275,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
125,9780515105148,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
126,9780373291977,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
127,9780553572810,,audible,partial,6,7,origin,1,11,5,720,7,https://www.audible.com/pd/Dance-on-the-Wind-Audiobook/B0DK7P8M1P,,data
128,9780843944754,,audible,partial,6,7,origin,1,0,7,487,8,https://www.audible.com/pd/Last-Chance-Audiobook/B002V0GH7M,,data
129,9780843924978,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
130,9780373217328,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
131,9780373225156,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
132,9780373224319,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
133,9780812514131,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
134,9780373224401,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
135,9780373223664,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
136,9780373221950,,audible,partial,6,7,origin,1,8,2,579,7,https://www.audible.com/pd/Whistleblower-Audiobook/B018HMUAT8,,data
137,9780553120189,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
138,9780373223275,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
139,9780373221356,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
140,9780812533187,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
141,9780812524932,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
142,9780812509625,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
