csv_row,isbn13,label,source,status,fields_found,fields_total,missing_fields,covers_written,reviews_written,genres_written,blurb_chars,warnings,book_url,error,out_dir
9669,9782253037323,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9670,9780345315601,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9671,9780375814891,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9672,9782070404490,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9673,9780373258987,,kobo,partial,6,7,origin,1,0,4,627,11,https://www.kobo.com/us/en/ebook/jordan-16,,data
9674,9780821724255,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9675,9780967431505,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9676,9780373258888,,kobo,partial,6,7,origin,1,0,3,686,11,https://www.kobo.com/us/en/ebook/boone-s-bounty-3,,data
9677,9780898653793,,kobo,partial,6,7,origin,1,0,5,174,11,https://www.kobo.com/us/en/audiobook/myth-ing-persons-1,,data
9678,9780375814914,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9679,9780307475077,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9680,9780446527767,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9681,9780739301913,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9682,9780807101506,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9683,9780312275181,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9684,9780964731349,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9685,9780471149637,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9686,9780449210840,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9687,9780903505437,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9688,9781841881485,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9689,9780517886533,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9690,9781571517135,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9691,9780671875121,,kobo,partial,6,7,origin,1,1,3,647,10,https://www.kobo.com/us/en/ebook/the-rogue-8,,data
9692,9780441898541,,kobo,partial,6,7,origin,1,1,2,1261,10,https://www.kobo.com/us/en/ebook/the-witches-of-karres-1,,data
9693,9781585420049,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9694,9780794401498,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9695,9780843935585,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9696,9780525444473,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9697,9780441138074,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9698,9781566933070,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9699,9780393313482,,kobo,partial,6,7,origin,1,2,8,1132,10,https://www.kobo.com/us/en/ebook/women-s-work-the-first-20-000-years-women-cloth-and-society-in-early-times,,data
9700,9780062516633,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9701,9780394873329,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9702,9780739424995,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9703,9781400031214,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9704,9780884046417,,kobo,partial,6,7,origin,10,1,5,3932,10,https://www.kobo.com/us/en/ebook/l-ron-hubbard-presents-writers-of-the-future-volume-39,,data
9705,9780312054670,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9706,9780689835605,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9707,9780571136933,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,11,,,data
9708,9781581170245,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9709,9780385488594,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9710,9780380806218,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,11,,,data
9711,9780671877187,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,11,,,data
9712,9780345395351,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,11,,,data
9713,9781556612886,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,11,,,data
9714,9781556610844,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,11,,,data
9715,9780373764105,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9716,9781556610004,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,11,,,data
9717,9780380717392,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,11,,,data
9718,9780373272297,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9719,9780871239778,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,11,,,data
9720,9780891374145,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,11,,,data
9721,9780373764976,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9722,9781569247877,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,11,,,data
9723,9780553288032,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,11,,,data
9724,9783798703315,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,11,,,data
9725,9780440226154,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,11,,,data
9726,9781580625821,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,11,,,data
9727,9780060185107,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9728,9780373484362,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9729,9780373272440,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9730,9780671737672,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9731,9781569247778,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,11,,,data
9732,9780224014793,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,11,,,data
9733,9780312998813,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9734,9781580174480,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9735,9780712646932,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,11,,,data
9736,9780440219477,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9737,9780450485541,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9738,9780345347213,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,11,,,data
9739,9780310951858,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9740,9780304291946,,kobo,skipped,0,0,,0,0,0,0,1,,,data
