csv_row,isbn13,label,source,status,fields_found,fields_total,missing_fields,covers_written,reviews_written,genres_written,blurb_chars,warnings,book_url,error,out_dir
120,9780307681034,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
121,9780445405257,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
122,9780523413198,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
123,9780373074419,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
124,9780395409275,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
125,9780515105148,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
126,9780373291977,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
127,9780553572810,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
128,9780843944754,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
129,9780843924978,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
130,9780373217328,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
131,9780373225156,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
132,9780373224319,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
133,9780812514131,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
134,9780373224401,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
135,9780373223664,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
136,9780373221950,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
137,9780553120189,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
138,9780373223275,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
139,9780373221356,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
140,9780812533187,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
141,9780812524932,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
142,9780812509625,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
143,9780812507140,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
144,9780671039868,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
145,9780373703852,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
146,9780553444858,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
147,9780446351478,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
148,9780373078271,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
149,9780837898582,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
150,9780679874379,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
151,9780816743971,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
152,9780590519250,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
153,9780816748129,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
154,9780439082099,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
155,9780849934728,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
156,9780440401964,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
157,9781556613883,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
158,9780590407496,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
159,9780717283347,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
160,9780769605630,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
161,9780140375138,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
162,9780380763504,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
163,9780425161906,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
164,9780679811817,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
165,9780553212655,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
